Car(carModel=Town Car, carModelYear=2007, carColor=Orange, carMaker=Lincoln)
Car(carModel=A8, carModelYear=2008, carColor=Red, carMaker=Audi)
Car(carModel=Grand Marquis, carModelYear=2005, carColor=Orange, carMaker=Mercury)
Car(carModel=Neon, carModelYear=2009, carColor=Yellow, carMaker=Dodge)
Car(carModel=Sable, carModelYear=1998, carColor=Fuscia, carMaker=Mercury)
Car(carModel=Escalade EXT, carModelYear=2003, carColor=Red, carMaker=Cadillac)
Car(carModel=Prizm, carModelYear=2005, carColor=Mauv, carMaker=Chevrolet)
Car(carModel=Escalade ESV, carModelYear=2010, carColor=Goldenrod, carMaker=Cadillac)
Car(carModel=TrailBlazer, carModelYear=2003, carColor=Puce, carMaker=Not stated)
Car(carModel=Viper, carModelYear=2009, carColor=Pink, carMaker=Dodge)
Car(carModel=Vega, carModelYear=2010, carColor=Green, carMaker=Chevrolet)
Car(carModel=9-3, carModelYear=2001, carColor=Blue, carMaker=Saab)
Car(carModel=S-Class, carModelYear=2003, carColor=Crimson, carMaker=Mercedes-Benz)
Car(carModel=Camaro, carModelYear=2010, carColor=Mauv, carMaker=Chevrolet)
Car(carModel=i-370, carModelYear=2009, carColor=Goldenrod, carMaker=Isuzu)
Car(carModel=SLR McLaren, carModelYear=1999, carColor=Maroon, carMaker=Mercedes-Benz)
Car(carModel=9-7X, carModelYear=2008, carColor=Maroon, carMaker=Saab)
Car(carModel=Equator, carModelYear=2001, carColor=Turquoise, carMaker=Suzuki)
Car(carModel=2500, carModelYear=2002, carColor=Blue, carMaker=Ram)
Car(carModel=6000, carModelYear=1999, carColor=Khaki, carMaker=Pontiac)
Car(carModel=RX Hybrid, carModelYear=2008, carColor=Goldenrod, carMaker=Lexus)
Car(carModel=D250, carModelYear=2005, carColor=Red, carMaker=Dodge)
Car(carModel=G-Series G20, carModelYear=2007, carColor=Maroon, carMaker=Chevrolet)
Car(carModel=Escape, carModelYear=1998, carColor=Red, carMaker=Ford)
Car(carModel=MKX, carModelYear=2010, carColor=Violet, carMaker=Lincoln)
Car(carModel=Sonata, carModelYear=2001, carColor=Yellow, carMaker=Not stated)
Car(carModel=Cougar, carModelYear=2009, carColor=Puce, carMaker=Mercury)
Car(carModel=Wrangler, carModelYear=2007, carColor=Puce, carMaker=Jeep)
Car(carModel=Silverado 1500, carModelYear=2009, carColor=Teal, carMaker=Chevrolet)
Car(carModel=3500, carModelYear=2010, carColor=Goldenrod, carMaker=Ram)
Car(carModel=900, carModelYear=2008, carColor=Orange, carMaker=Saab)
Car(carModel=Talon, carModelYear=2009, carColor=Turquoise, carMaker=Eagle)
Car(carModel=Envoy, carModelYear=2004, carColor=Orange, carMaker=GMC)
Car(carModel=Outlook, carModelYear=2007, carColor=Green, carMaker=Saturn)
Car(carModel=Roadmaster, carModelYear=2006, carColor=Aquamarine, carMaker=Buick)
Car(carModel=Grand Caravan, carModelYear=2010, carColor=Purple, carMaker=Dodge)
Car(carModel=XF, carModelYear=2007, carColor=Crimson, carMaker=Jaguar)
Car(carModel=TT, carModelYear=2005, carColor=Red, carMaker=Audi)
Car(carModel=Cougar, carModelYear=2004, carColor=Blue, carMaker=Mercury)
Car(carModel=Journey, carModelYear=2004, carColor=Teal, carMaker=Dodge)
Car(carModel=Titan, carModelYear=1999, carColor=Violet, carMaker=Nissan)
Car(carModel=Skylark, carModelYear=2008, carColor=Blue, carMaker=Buick)
Car(carModel=Chariot, carModelYear=2010, carColor=Orange, carMaker=Mitsubishi)
Car(carModel=Optima, carModelYear=2004, carColor=Green, carMaker=Kia)
Car(carModel=Integra, carModelYear=2010, carColor=Purple, carMaker=Acura)
Car(carModel=Ram 3500, carModelYear=2007, carColor=Orange, carMaker=Dodge)
Car(carModel=88, carModelYear=2008, carColor=Orange, carMaker=Oldsmobile)
Car(carModel=Accent, carModelYear=2006, carColor=Crimson, carMaker=Hyundai)
Car(carModel=SRX, carModelYear=2007, carColor=Blue, carMaker=Cadillac)
Car(carModel=ES, carModelYear=1999, carColor=Orange, carMaker=Lexus)
Car(carModel=57, carModelYear=2000, carColor=Crimson, carMaker=Maybach)
Car(carModel=Optima, carModelYear=2003, carColor=Mauv, carMaker=Kia)
Car(carModel=Grand Prix, carModelYear=2001, carColor=Aquamarine, carMaker=Pontiac)
Car(carModel=Aerostar, carModelYear=2003, carColor=Teal, carMaker=Ford)
Car(carModel=Firebird, carModelYear=1998, carColor=Green, carMaker=Pontiac)
Car(carModel=Forenza, carModelYear=2009, carColor=Turquoise, carMaker=Suzuki)
Car(carModel=3 Series, carModelYear=1998, carColor=Crimson, carMaker=BMW)
Car(carModel=Escape, carModelYear=1999, carColor=Maroon, carMaker=Ford)
Car(carModel=Matrix, carModelYear=1998, carColor=Khaki, carMaker=Toyota)
Car(carModel=Cougar, carModelYear=2006, carColor=Teal, carMaker=Mercury)
Car(carModel=Cobalt, carModelYear=2004, carColor=Fuscia, carMaker=Chevrolet)
Car(carModel=Quest, carModelYear=2001, carColor=Aquamarine, carMaker=Not stated)
Car(carModel=Tracker, carModelYear=2004, carColor=Aquamarine, carMaker=Geo)
Car(carModel=Sparrow, carModelYear=2001, carColor=Yellow, carMaker=Corbin)
Car(carModel=3500 Club Coupe, carModelYear=2006, carColor=Green, carMaker=GMC)
Car(carModel=Diablo, carModelYear=2006, carColor=Pink, carMaker=Lamborghini)
Car(carModel=LHS, carModelYear=2003, carColor=Yellow, carMaker=Chrysler)
Car(carModel=Express 1500, carModelYear=2000, carColor=Indigo, carMaker=Chevrolet)
Car(carModel=Spectra, carModelYear=2006, carColor=Red, carMaker=Kia)
Car(carModel=626, carModelYear=2009, carColor=Mauv, carMaker=Not stated)
Car(carModel=MPV, carModelYear=2007, carColor=Crimson, carMaker=Mazda)
Car(carModel=E-Class, carModelYear=1999, carColor=Blue, carMaker=Mercedes-Benz)
Car(carModel=Prowler, carModelYear=1999, carColor=Fuscia, carMaker=Plymouth)
Car(carModel=CL-Class, carModelYear=2000, carColor=Fuscia, carMaker=Mercedes-Benz)
Car(carModel=Lancer, carModelYear=2010, carColor=Turquoise, carMaker=Mitsubishi)
Car(carModel=GX, carModelYear=2004, carColor=Yellow, carMaker=Lexus)
Car(carModel=X3, carModelYear=2005, carColor=Turquoise, carMaker=Not stated)
